,12			 ,9			  ,10			   ,10			    ,9			     ,14		      ,9		       ,13			,14			 ,10
,5			 ,10			  ,6			   ,9			    ,7			     ,7			      ,7		       ,5			,10			 ,5
,6			 ,11			  ,7			   ,6			    ,7			     ,11		      ,7		       ,4			,5			 ,7
,8			 ,8			  ,7			   ,9			    ,5			     ,3			      ,11		       ,7			,4			 ,8
,8			 ,8			  ,9			   ,12			    ,8			     ,11		      ,9		       ,10			,14			 ,13
,12			 ,8			  ,5			   ,7			    ,5			     ,6			      ,6		       ,6			,8			 ,7
,5			 ,4			  ,6			   ,8			    ,6			     ,9			      ,6		       ,5			,17			 ,8
,9			 ,4			  ,9			   ,6			    ,11			     ,6			      ,6		       ,4			,9			 ,5
,4			 ,4			  ,5			   ,4			    ,7			     ,7			      ,7		       ,5			,4			 ,5
,9			 ,14			  ,9			   ,15			    ,9			     ,9			      ,11		       ,9			,11			 ,10
,3			 ,6			  ,5			   ,7			    ,8			     ,8			      ,8		       ,4			,5			 ,4
