,10269			 ,11287			  ,10420		   ,10179		    ,9856		     ,10528		      ,10179		       ,9853			,11415			 ,11109
,20220			 ,20083			  ,18567		   ,19630		    ,18719		     ,19875		      ,18537		       ,18866			,19772			 ,19540
,30372			 ,29236			  ,28525		   ,29300		    ,29737		     ,29864		      ,30667		       ,30090			,30532			 ,28566
,40805			 ,40478			  ,40581		   ,40589		    ,40289		     ,41007		      ,41450		       ,39940			,41398			 ,40123
,52905			 ,52308			  ,51475		   ,53054		    ,51371		     ,52016		      ,53842		       ,51102			,51859			 ,51277
,62465			 ,63442			  ,63393		   ,63503		    ,63025		     ,63523		      ,63723		       ,65164			,62620			 ,62331
,74643			 ,74748			  ,73700		   ,73922		    ,73521		     ,73732		      ,74541		       ,74845			,73929			 ,74659
,85581			 ,86965			  ,87898		   ,87084		    ,85978		     ,87327		      ,85729		       ,89472			,86852			 ,86239
,99959			 ,98679			  ,97590		   ,97379		    ,98162		     ,98672		      ,97051		       ,98006			,98441			 ,98582
,111050			 ,110284		  ,109731		   ,110742		    ,109502		     ,109847		      ,110559		       ,111169			,111285			 ,110382
,121473			 ,123732		  ,121796		   ,123055		    ,125145		     ,123314		      ,123145		       ,122784			,123326			 ,121874
