,4			 ,4			  ,3			   ,3			    ,4			     ,3			      ,3		       ,3			,4			 ,3
,7			 ,7			  ,8			   ,7			    ,7			     ,7			      ,7		       ,7			,7			 ,8
,11			 ,11			  ,11			   ,12			    ,11			     ,11		      ,11		       ,12			,11			 ,11
,15			 ,16			  ,15			   ,15			    ,15			     ,15		      ,15		       ,15			,15			 ,15
,19			 ,19			  ,19			   ,19			    ,19			     ,19		      ,19		       ,19			,19			 ,19
,23			 ,23			  ,23			   ,23			    ,23			     ,23		      ,23		       ,23			,23			 ,23
,28			 ,27			  ,28			   ,27			    ,27			     ,27		      ,27		       ,27			,27			 ,27
,30			 ,31			  ,31			   ,31			    ,31			     ,31		      ,31		       ,31			,31			 ,31
,35			 ,35			  ,34			   ,35			    ,35			     ,35		      ,35		       ,35			,34			 ,35
,38			 ,39			  ,38			   ,39			    ,38			     ,38		      ,38		       ,39			,39			 ,38
,43			 ,43			  ,43			   ,42			    ,43			     ,43		      ,42		       ,43			,42			 ,42
