,1420			 ,2174			  ,1339			   ,1532		    ,1244		     ,1403		      ,1313		       ,1245			,1256			 ,1373
,1685			 ,1485			  ,1869			   ,2062		    ,1642		     ,1664		      ,1807		       ,1822			,1725			 ,1610
,2819			 ,2606			  ,2769			   ,2862		    ,2061		     ,2192		      ,2337		       ,2222			,2330			 ,2231
,2980			 ,3083			  ,3508			   ,2966		    ,3019		     ,3154		      ,3860		       ,3584			,3532			 ,3598
,3106			 ,3741			  ,3328			   ,3833		    ,3869		     ,4542		      ,3155		       ,3307			,3288			 ,3190
,3948			 ,3662			  ,3837			   ,3444		    ,3434		     ,3477		      ,4157		       ,3908			,4227			 ,3422
,3744			 ,3649			  ,4477			   ,3856		    ,3639		     ,4172		      ,3738		       ,4030			,3599			 ,3765
,4000			 ,3779			  ,4151			   ,4583		    ,3858		     ,3883		      ,4284		       ,4157			,3877			 ,3826
,4434			 ,4246			  ,4119			   ,4346		    ,4103		     ,5176		      ,4100		       ,4836			,4104			 ,4030
,4186			 ,4370			  ,4256			   ,4371		    ,4311		     ,4216		      ,4947		       ,4242			,4392			 ,4729
,4340			 ,4296			  ,4437			   ,4431		    ,4459		     ,4681		      ,4724		       ,4417			,4344			 ,4976
