,7231			 ,7852			  ,7989			   ,8243		    ,7094		     ,8311		      ,7013		       ,7838			,8593			 ,8530
,8962			 ,8057			  ,9163			   ,7587		    ,9226		     ,8042		      ,7412		       ,7535			,7441			 ,8081
,8150			 ,8720			  ,7675			   ,8648		    ,7800		     ,9559		      ,8067		       ,7793			,8663			 ,7559
,8031			 ,7995			  ,7879			   ,8229		    ,8064		     ,9022		      ,8819		       ,7805			,7979			 ,8179
,7961			 ,8228			  ,8176			   ,9923		    ,7798		     ,8069		      ,7975		       ,8297			,7970			 ,8847
,7831			 ,8961			  ,9919			   ,9755		    ,9508		     ,8726		      ,9853		       ,8287			,10992			 ,7830
,7909			 ,8104			  ,7808			   ,7546		    ,7901		     ,7951		      ,7899		       ,9192			,7686			 ,8098
,7919			 ,8675			  ,9115			   ,8002		    ,8803		     ,8338		      ,7883		       ,8125			,8305			 ,8748
,12166			 ,8947			  ,8645			   ,7960		    ,8316		     ,9403		      ,8185		       ,8521			,8443			 ,8895
,9069			 ,9308			  ,9652			   ,8398		    ,8214		     ,8113		      ,9315		       ,9216			,8069			 ,8234
,8183			 ,8285			  ,7973			   ,8731		    ,8397		     ,7946		      ,9375		       ,8990			,8491			 ,8017
