,2508			 ,2585			  ,2429			   ,2495		    ,2631		     ,2464		      ,2844		       ,2605			,2457			 ,2496
,4885			 ,4945			  ,5134			   ,5407		    ,4921		     ,4930		      ,5191		       ,4926			,5021			 ,5361
,6512			 ,6530			  ,6714			   ,6595		    ,6390		     ,6704		      ,6761		       ,6190			,6555			 ,6512
,7762			 ,7148			  ,8194			   ,7250		    ,7536		     ,7279		      ,7417		       ,7090			,7533			 ,7196
,8589			 ,8443			  ,8990			   ,8843		    ,8823		     ,8805		      ,8599		       ,8615			,9511			 ,9067
,9954			 ,9464			  ,9449			   ,9166		    ,10551		     ,10282		      ,9817		       ,10174			,9822			 ,29901
,10853			 ,10638			  ,11004		   ,10522		    ,11343		     ,12016		      ,10933		       ,11005			,10309			 ,11578
,11771			 ,12352			  ,11574		   ,11970		    ,11381		     ,11210		      ,11824		       ,11653			,11787			 ,11747
,12818			 ,12059			  ,12343		   ,12474		    ,12562		     ,12262		      ,12424		       ,12296			,12128			 ,12842
,13452			 ,14204			  ,14580		   ,13074		    ,14610		     ,13787		      ,12981		       ,13399			,13462			 ,14851
,14309			 ,15599			  ,13907		   ,15243		    ,14061		     ,14947		      ,15130		       ,15197			,15922			 ,14439
