,105			 ,117			  ,111			   ,110			    ,114		     ,108		      ,108		       ,124			,125			 ,106
,165			 ,131			  ,139			   ,137			    ,138		     ,144		      ,135		       ,141			,161			 ,150
,161			 ,168			  ,171			   ,160			    ,168		     ,174		      ,159		       ,162			,156			 ,158
,183			 ,179			  ,186			   ,194			    ,194		     ,196		      ,183		       ,183			,181			 ,182
,207			 ,199			  ,201			   ,203			    ,206		     ,204		      ,218		       ,209			,206			 ,201
,227			 ,229			  ,224			   ,230			    ,224		     ,230		      ,223		       ,230			,227			 ,227
,252			 ,251			  ,249			   ,248			    ,255		     ,252		      ,251		       ,266			,253			 ,253
,275			 ,283			  ,285			   ,272			    ,262		     ,277		      ,277		       ,272			,275			 ,277
,293			 ,323			  ,296			   ,294			    ,304		     ,295		      ,305		       ,296			,292			 ,301
,329			 ,321			  ,321			   ,319			    ,318		     ,312		      ,318		       ,320			,317			 ,317
,333			 ,348			  ,341			   ,340			    ,340		     ,334		      ,337		       ,342			,340			 ,340
