,3704			 ,3817			  ,3493			   ,3360		    ,3759		     ,4291		      ,3524		       ,3471			,3379			 ,4419
,8436			 ,6650			  ,6953			   ,6884		    ,6680		     ,6661		      ,6620		       ,7750			,6633			 ,6664
,11918			 ,10674			  ,10323		   ,10433		    ,10981		     ,10668		      ,10095		       ,10229			,10369			 ,10398
,15352			 ,15014			  ,15948		   ,15725		    ,14802		     ,15251		      ,14885		       ,14574			,15646			 ,15123
,19775			 ,19627			  ,17988		   ,18441		    ,20121		     ,19561		      ,18487		       ,19077			,19120			 ,18138
,24791			 ,24870			  ,24487		   ,25347		    ,22522		     ,24092		      ,23345		       ,23111			,22697			 ,23738
,28196			 ,27540			  ,28281		   ,28098		    ,27191		     ,28006		      ,29586		       ,28606			,27288			 ,28635
,32350			 ,33596			  ,32471		   ,29203		    ,33254		     ,31051		      ,31244		       ,30989			,29987			 ,32556
,32418			 ,36200			  ,32584		   ,35067		    ,32454		     ,36586		      ,37006		       ,36797			,38386			 ,32510
,41911			 ,41984			  ,42165		   ,40108		    ,41912		     ,40247		      ,41571		       ,41804			,40305			 ,41841
,44231			 ,42064			  ,44552		   ,41976		    ,43330		     ,46183		      ,45445		       ,42903			,45476			 ,43280
