,12	  ,17	    ,14	      ,20	,21	  ,96	    ,27
,70	  ,92	    ,74	      ,88	,105	  ,154	    ,111
,164	  ,202	    ,178      ,201	,209	  ,247	    ,224
,294	  ,344	    ,310      ,345	,343	  ,381	    ,374
,458	  ,539	    ,480      ,527	,527	  ,555	    ,564
,657	  ,747	    ,682      ,737	,747	  ,777	    ,773
,899	  ,988	    ,924      ,997	,1004	  ,1058	    ,1032
,1171	  ,1297	    ,1203     ,1284	,1295	  ,1340	    ,1329
,1468	  ,1627	    ,1525     ,1633	,1601	  ,1682	    ,1656
,1819	  ,1961	    ,1859     ,1993	,1959	  ,2049	    ,2031
,2202	  ,2333	    ,2259     ,2387	,2327	  ,2389	    ,2410
