,11	  ,18	    ,13	      ,18	,18	  ,63	    ,30
,73	  ,86	    ,76	      ,89	,100	  ,192	    ,111
,165	  ,197	    ,178      ,194	,206	  ,276	    ,228
,293	  ,335	    ,311      ,340	,348	  ,367	    ,386
,457	  ,520	    ,485      ,517	,515	  ,568	    ,560
,657	  ,727	    ,681      ,733	,738	  ,787	    ,788
,897	  ,988	    ,923      ,988	,990	  ,1046	    ,1052
,1170	  ,1258	    ,1210     ,1287	,1280	  ,1319	    ,1346
,1474	  ,1642	    ,1509     ,1607	,1617	  ,1668	    ,1681
,1817	  ,1944	    ,1858     ,1965	,1972	  ,2030	    ,2025
,2185	  ,2356	    ,2238     ,2370	,2335	  ,2427	    ,2418
