,12	  ,17	    ,14	      ,17	,18	  ,82	    ,30
,70	  ,87	    ,77	      ,90	,104	  ,165	    ,123
,163	  ,194	    ,179      ,196	,209	  ,268	    ,243
,294	  ,341	    ,314      ,338	,346	  ,405	    ,387
,457	  ,517	    ,488      ,528	,541	  ,590	    ,565
,661	  ,758	    ,707      ,742	,754	  ,824	    ,810
,899	  ,1009	    ,932      ,1002	,1005	  ,1112	    ,1059
,1176	  ,1273	    ,1218     ,1281	,1288	  ,1358	    ,1360
,1476	  ,1591	    ,1526     ,1614	,1652	  ,1700	    ,1700
,1826	  ,1996	    ,1870     ,1981	,1980	  ,2067	    ,2041
,2199	  ,2320	    ,2265     ,2362	,2367	  ,2474	    ,2434
