,11	  ,12	    ,12	      ,20	,16	  ,16	    ,25
,72	  ,73	    ,73	      ,75	,79	  ,81	    ,101
,165	  ,195	    ,199      ,194	,194	  ,210	    ,263
,292	  ,356	    ,340      ,358	,343	  ,405	    ,386
,463	  ,519	    ,481      ,493	,498	  ,552	    ,512
,657	  ,746	    ,684      ,721	,728	  ,796	    ,745
,913	  ,997	    ,941      ,981	,992	  ,1080	    ,1018
,1169	  ,1288	    ,1226     ,1259	,1271	  ,1322	    ,1307
,1475	  ,1612	    ,1516     ,1625	,1580	  ,1643	    ,1655
,1809	  ,1968	    ,1864     ,1968	,1944	  ,2020	    ,2025
,2186	  ,2381	    ,2240     ,2337	,2383	  ,2440	    ,2407
