,8	  ,8	    ,8	      ,8	,14	  ,15	    ,14
,55	  ,50	    ,49	      ,49	,52	  ,63	    ,68
,138	  ,124	    ,123      ,119	,122	  ,131	    ,184
,259	  ,239	    ,227      ,235	,232	  ,237	    ,301
,407	  ,382	    ,378      ,376	,377	  ,376	    ,446
,591	  ,567	    ,559      ,555	,569	  ,567	    ,683
,817	  ,788	    ,780      ,786	,783	  ,780	    ,796
,1072	  ,1038	    ,1027     ,1021	,1028	  ,1035	    ,1045
,1363	  ,1324	    ,1311     ,1300	,1308	  ,1311	    ,1326
,1691	  ,1664	    ,1645     ,1619	,1632	  ,1627	    ,1647
,2087	  ,1998	    ,1979     ,2005	,1978	  ,1967	    ,2001
