,0	  ,0	    ,1	      ,0	,1	  ,6	    ,8
,0	  ,0	    ,3	      ,3	,4	  ,0	    ,10
,0	  ,0	    ,0	      ,0	,0	  ,2	    ,7
,0	  ,0	    ,0	      ,1	,3	  ,2	    ,9
,0	  ,0	    ,0	      ,2	,4	  ,2	    ,9
,0	  ,0	    ,0	      ,0	,0	  ,9	    ,9
,0	  ,0	    ,0	      ,1	,2	  ,1	    ,10
,0	  ,0	    ,0	      ,0	,5	  ,7	    ,7
,0	  ,0	    ,0	      ,0	,2	  ,0	    ,10
,0	  ,0	    ,0	      ,0	,1	  ,3	    ,9
,0	  ,0	    ,1	      ,0	,0	  ,4	    ,8
,0	  ,0	    ,3	      ,0	,2	  ,15	    ,7
,0	  ,0	    ,0	      ,0	,1	  ,0	    ,8
,0	  ,0	    ,0	      ,6	,2	  ,9	    ,9
,0	  ,0	    ,0	      ,0	,6	  ,3	    ,8
,1	  ,0	    ,0	      ,0	,3	  ,16	    ,9
,1	  ,0	    ,0	      ,0	,0	  ,2	    ,8
,1	  ,1	    ,1	      ,6	,5	  ,3	    ,8
,1	  ,1	    ,1	      ,1	,2	  ,0	    ,7
,1	  ,1	    ,3	      ,1	,0	  ,12	    ,10
,1	  ,1	    ,0	      ,3	,2	  ,10	    ,8
,1	  ,1	    ,0	      ,1	,3	  ,5	    ,8
,1	  ,1	    ,0	      ,1	,6	  ,0	    ,10
,1	  ,1	    ,5	      ,3	,3	  ,3	    ,8
,1	  ,1	    ,1	      ,1	,7	  ,1	    ,9
,1	  ,1	    ,1	      ,1	,1	  ,3	    ,9
,1	  ,1	    ,1	      ,5	,1	  ,8	    ,7
,1	  ,1	    ,1	      ,1	,1	  ,14	    ,9
,1	  ,1	    ,1	      ,1	,1	  ,2	    ,9
,1	  ,1	    ,1	      ,1	,3	  ,1	    ,8
,1	  ,1	    ,1	      ,1	,3	  ,8	    ,9
,1	  ,1	    ,1	      ,1	,4	  ,1	    ,8
,2	  ,1	    ,1	      ,1	,10	  ,6	    ,10
