,0	  ,0	    ,0	      ,5	,4	  ,5	    ,9
,0	  ,0	    ,0	      ,1	,3	  ,0	    ,7
,0	  ,4	    ,0	      ,0	,3	  ,0	    ,9
,0	  ,0	    ,0	      ,3	,2	  ,3	    ,9
,0	  ,0	    ,1	      ,2	,3	  ,2	    ,12
,0	  ,0	    ,0	      ,0	,3	  ,20	    ,8
,0	  ,0	    ,0	      ,0	,3	  ,10	    ,9
,0	  ,0	    ,0	      ,3	,2	  ,0	    ,8
,0	  ,0	    ,0	      ,0	,7	  ,1	    ,9
,0	  ,0	    ,0	      ,6	,0	  ,0	    ,9
,0	  ,0	    ,5	      ,0	,4	  ,9	    ,8
,0	  ,0	    ,0	      ,0	,8	  ,5	    ,8
,0	  ,0	    ,0	      ,0	,3	  ,4	    ,11
,0	  ,0	    ,0	      ,3	,1	  ,6	    ,9
,0	  ,0	    ,4	      ,7	,0	  ,12	    ,7
,1	  ,0	    ,0	      ,6	,3	  ,3	    ,11
,1	  ,1	    ,0	      ,0	,7	  ,6	    ,8
,1	  ,0	    ,0	      ,0	,1	  ,0	    ,8
,1	  ,0	    ,0	      ,2	,0	  ,2	    ,13
,1	  ,0	    ,0	      ,4	,6	  ,13	    ,8
,1	  ,0	    ,1	      ,3	,4	  ,5	    ,8
,1	  ,1	    ,3	      ,0	,0	  ,1	    ,14
,1	  ,1	    ,11	      ,1	,4	  ,3	    ,8
,1	  ,1	    ,0	      ,6	,4	  ,0	    ,8
,1	  ,1	    ,1	      ,4	,5	  ,1	    ,14
,1	  ,1	    ,1	      ,2	,7	  ,5	    ,9
,1	  ,1	    ,1	      ,13	,0	  ,7	    ,9
,1	  ,1	    ,3	      ,1	,1	  ,1	    ,9
,1	  ,1	    ,4	      ,3	,3	  ,3	    ,9
,1	  ,1	    ,1	      ,1	,15	  ,6	    ,10
,1	  ,1	    ,1	      ,1	,6	  ,4	    ,10
,1	  ,1	    ,1	      ,1	,8	  ,6	    ,9
,2	  ,1	    ,1	      ,3	,1	  ,20	    ,9
,2	  ,1	    ,6	      ,1	,7	  ,5	    ,10
,2	  ,1	    ,1	      ,14	,1	  ,10	    ,10
,2	  ,1	    ,1	      ,1	,3	  ,5	    ,11
,2	  ,1	    ,1	      ,5	,1	  ,4	    ,10
,2	  ,1	    ,1	      ,1	,3	  ,1	    ,15
,2	  ,1	    ,1	      ,1	,9	  ,3	    ,9
,2	  ,1	    ,4	      ,2	,1	  ,10	    ,9
,2	  ,1	    ,1	      ,1	,5	  ,11	    ,10
,2	  ,1	    ,1	      ,5	,3	  ,1	    ,9
,2	  ,1	    ,1	      ,1	,2	  ,8	    ,9
,2	  ,1	    ,1	      ,1	,2	  ,5	    ,16
,2	  ,1	    ,1	      ,3	,3	  ,8	    ,9
,2	  ,1	    ,5	      ,1	,1	  ,7	    ,11
,2	  ,2	    ,1	      ,1	,4	  ,11	    ,9
,2	  ,2	    ,1	      ,1	,7	  ,3	    ,10
,3	  ,2	    ,1	      ,1	,1	  ,2	    ,10
,3	  ,2	    ,1	      ,1	,5	  ,1	    ,11
,3	  ,2	    ,1	      ,1	,3	  ,4	    ,13
,3	  ,2	    ,1	      ,1	,7	  ,1	    ,10
,3	  ,3	    ,2	      ,5	,1	  ,11	    ,8
,3	  ,2	    ,2	      ,7	,4	  ,6	    ,14
,3	  ,2	    ,3	      ,6	,3	  ,15	    ,10
,3	  ,2	    ,2	      ,1	,3	  ,6	    ,11
,3	  ,2	    ,2	      ,2	,4	  ,9	    ,9
,3	  ,2	    ,2	      ,2	,7	  ,15	    ,10
,3	  ,2	    ,2	      ,2	,1	  ,4	    ,12
,3	  ,2	    ,2	      ,8	,5	  ,5	    ,9
,3	  ,2	    ,2	      ,2	,4	  ,8	    ,11
,3	  ,2	    ,5	      ,2	,7	  ,5	    ,10
,4	  ,2	    ,2	      ,7	,2	  ,10	    ,9
,4	  ,2	    ,2	      ,2	,4	  ,3	    ,12
,4	  ,2	    ,3	      ,2	,7	  ,5	    ,9
,4	  ,2	    ,2	      ,2	,3	  ,8	    ,12
,4	  ,2	    ,2	      ,3	,2	  ,5	    ,12
,4	  ,3	    ,2	      ,2	,4	  ,3	    ,10
,4	  ,3	    ,2	      ,2	,3	  ,12	    ,15
,4	  ,3	    ,4	      ,4	,4	  ,10	    ,11
,4	  ,3	    ,2	      ,2	,2	  ,6	    ,15
,4	  ,3	    ,2	      ,2	,6	  ,2	    ,9
,4	  ,3	    ,2	      ,4	,4	  ,14	    ,10
,4	  ,3	    ,2	      ,4	,2	  ,3	    ,12
,4	  ,3	    ,2	      ,6	,2	  ,9	    ,10
,4	  ,3	    ,2	      ,2	,6	  ,5	    ,10
,5	  ,3	    ,2	      ,2	,3	  ,12	    ,11
,5	  ,3	    ,9	      ,2	,3	  ,6	    ,11
,5	  ,3	    ,3	      ,4	,3	  ,5	    ,17
,5	  ,3	    ,3	      ,2	,6	  ,4	    ,11
,5	  ,3	    ,3	      ,2	,4	  ,7	    ,13
,5	  ,3	    ,3	      ,3	,11	  ,15	    ,10
,5	  ,3	    ,3	      ,4	,7	  ,6	    ,12
,5	  ,3	    ,3	      ,3	,3	  ,13	    ,10
,5	  ,3	    ,3	      ,3	,6	  ,4	    ,9
,5	  ,4	    ,3	      ,3	,2	  ,9	    ,17
,5	  ,4	    ,3	      ,11	,4	  ,15	    ,11
,5	  ,4	    ,3	      ,3	,3	  ,8	    ,12
,5	  ,4	    ,6	      ,3	,9	  ,6	    ,11
,6	  ,4	    ,3	      ,3	,9	  ,9	    ,13
,6	  ,4	    ,3	      ,7	,5	  ,12	    ,10
,6	  ,4	    ,3	      ,3	,3	  ,7	    ,11
,6	  ,4	    ,3	      ,3	,3	  ,7	    ,12
