,8	  ,6	    ,5	      ,4	,11	  ,13	    ,11
,56	  ,48	    ,44	      ,43	,43	  ,48	    ,54
,139	  ,123	    ,121      ,116	,116	  ,125	    ,130
,259	  ,239	    ,230      ,230	,227	  ,230	    ,239
,415	  ,382	    ,379      ,375	,377	  ,376	    ,386
,595	  ,575	    ,558      ,551	,566	  ,567	    ,594
,833	  ,790	    ,776      ,774	,789	  ,776	    ,788
,1079	  ,1057	    ,1027     ,1021	,1027	  ,1024	    ,1033
,1389	  ,1327	    ,1311     ,1300	,1307	  ,1307	    ,1328
,1694	  ,1649	    ,1651     ,1640	,1622	  ,1641	    ,1639
,2052	  ,1999	    ,1994     ,1967	,1968	  ,1966	    ,1998
