,8	  ,8	    ,8	      ,9	,13	  ,12	    ,14
,55	  ,56	    ,56	      ,56	,57	  ,65	    ,72
,138	  ,133	    ,133      ,137	,135	  ,149	    ,209
,255	  ,243	    ,243      ,246	,250	  ,252	    ,475
,406	  ,388	    ,380      ,388	,397	  ,403	    ,537
,591	  ,565	    ,563      ,559	,570	  ,578	    ,623
,817	  ,790	    ,785      ,783	,790	  ,800	    ,817
,1074	  ,1033	    ,1027     ,1024	,1042	  ,1046	    ,1061
,1361	  ,1317	    ,1300     ,1314	,1312	  ,1312	    ,1332
,1689	  ,1636	    ,1632     ,1622	,1643	  ,1638	    ,1658
,2066	  ,1988	    ,1973     ,1977	,1988	  ,1992	    ,2013
