,9	  ,8	    ,7	      ,6	,7	  ,7	    ,12
,60	  ,54	    ,52	      ,53	,49	  ,60	    ,58
,147	  ,134	    ,129      ,126	,132	  ,137	    ,135
,274	  ,252	    ,243      ,241	,239	  ,245	    ,248
,421	  ,406	    ,395      ,393	,398	  ,410	    ,403
,622	  ,593	    ,579      ,575	,581	  ,587	    ,593
,840	  ,833	    ,821      ,820	,822	  ,847	    ,816
,1118	  ,1075	    ,1055     ,1050	,1057	  ,1059	    ,1062
,1393	  ,1398	    ,1354     ,1344	,1350	  ,1364	    ,1358
,1752	  ,1692	    ,1689     ,1658	,1669	  ,1660	    ,1681
,2089	  ,2047	    ,2028     ,2013	,2018	  ,2006	    ,2033
