,43	    ,11		,10	    ,10		,11	    ,11
,77	    ,64		,64	    ,64		,64	    ,64
,154	    ,154	,154	    ,153	,153	    ,155
,284	    ,280	,281	    ,280	,279	    ,287
,440	    ,438	,439	    ,442	,447	    ,440
,638	    ,607	,607	    ,606	,609	    ,610
,876	    ,836	,836	    ,842	,839	    ,837
,1142	    ,1105	,1087	    ,1088	,1086	    ,1087
,1445	    ,1394	,1384	    ,1385	,1387	    ,1381
,1789	    ,1743	,1715	    ,1718	,1719	    ,1717
,2174	    ,2066	,2047	    ,2061	,2041	    ,2035
