,12	    ,10		,10	    ,11		,10	    ,10
,65	    ,64		,64	    ,64		,64	    ,65
,153	    ,153	,153	    ,155	,153	    ,153
,281	    ,277	,276	    ,280	,277	    ,277
,434	    ,431	,433	    ,431	,431	    ,439
,603	    ,601	,603	    ,598	,600	    ,598
,837	    ,825	,824	    ,823	,835	    ,826
,1081	    ,1069	,1070	    ,1076	,1078	    ,1083
,1361	    ,1363	,1362	    ,1366	,1361	    ,1375
,1685	    ,1687	,1691	    ,1685	,1687	    ,1690
,2026	    ,2031	,2030	    ,2025	,2021	    ,2031
