,272			 ,259			  ,276			   ,252			    ,258		     ,267		      ,270		       ,276			,249			 ,263
,351			 ,273			  ,267			   ,307			    ,324		     ,302		      ,271		       ,274			,342			 ,292
,388			 ,360			  ,303			   ,292			    ,288		     ,302		      ,331		       ,346			,295			 ,316
,371			 ,364			  ,325			   ,372			    ,422		     ,488		      ,339		       ,456			,375			 ,317
,361			 ,326			  ,350			   ,517			    ,430		     ,372		      ,389		       ,355			,427			 ,441
,476			 ,373			  ,493			   ,371			    ,416		     ,450		      ,469		       ,357			,411			 ,480
,480			 ,563			  ,427			   ,448			    ,431		     ,475		      ,474		       ,405			,419			 ,379
,495			 ,462			  ,595			   ,461			    ,472		     ,424		      ,526		       ,542			,446			 ,472
,512			 ,574			  ,497			   ,501			    ,539		     ,493		      ,538		       ,580			,472			 ,534
,576			 ,606			  ,515			   ,528			    ,611		     ,457		      ,623		       ,589			,511			 ,528
,521			 ,561			  ,473			   ,533			    ,609		     ,626		      ,569		       ,662			,576			 ,478
