,4646			 ,4304			  ,4641			   ,4404		    ,5193		     ,4805		      ,4628		       ,3989			,5262			 ,4049
,6307			 ,6752			  ,7388			   ,6421		    ,7337		     ,6934		      ,6536		       ,6216			,7466			 ,6789
,10438			 ,12590			  ,9381			   ,8884		    ,8466		     ,7946		      ,8479		       ,8015			,9619			 ,8402
,12122			 ,11439			  ,10562		   ,11053		    ,11055		     ,11430		      ,12051		       ,14341			,11099			 ,11048
,13302			 ,13175			  ,13364		   ,15136		    ,11990		     ,14100		      ,12553		       ,13468			,15257			 ,12340
,17151			 ,17849			  ,15894		   ,15396		    ,20772		     ,17229		      ,17867		       ,21338			,15614			 ,15725
,19309			 ,16534			  ,16265		   ,16475		    ,16423		     ,17221		      ,16943		       ,20810			,17277			 ,16808
,20573			 ,23108			  ,19921		   ,17520		    ,17969		     ,20808		      ,19559		       ,22705			,18518			 ,17796
,21455			 ,19792			  ,19914		   ,21675		    ,19419		     ,19985		      ,21159		       ,27041			,21503			 ,23578
,23609			 ,23680			  ,25309		   ,26186		    ,21807		     ,25830		      ,22121		       ,21239			,21732			 ,25021
,23976			 ,25168			  ,25367		   ,25176		    ,29561		     ,28483		      ,23908		       ,24820			,25377			 ,23849
