,5749			 ,6477			  ,5693			   ,6079		    ,6822		     ,5781		      ,6002		       ,6844			,5987			 ,6153
,8663			 ,7498			  ,10291		   ,8531		    ,8905		     ,9538		      ,7306		       ,7933			,7398			 ,7316
,9416			 ,7833			  ,8839			   ,7837		    ,8421		     ,10058		      ,8807		       ,8971			,11358			 ,11867
,9646			 ,11962			  ,11268		   ,13381		    ,10924		     ,10391		      ,10833		       ,10625			,11093			 ,14931
,11152			 ,13994			  ,12361		   ,10140		    ,13697		     ,13660		      ,13389		       ,12058			,11840			 ,10634
,15003			 ,12495			  ,15736		   ,11544		    ,12687		     ,15659		      ,11885		       ,12569			,13380			 ,13192
,14363			 ,13503			  ,11812		   ,13425		    ,12232		     ,13307		      ,15072		       ,12835			,15978			 ,14278
,15265			 ,13195			  ,14366		   ,13023		    ,14126		     ,13829		      ,17013		       ,13190			,16501			 ,13447
,13529			 ,16175			  ,15245		   ,14661		    ,14696		     ,18528		      ,17404		       ,15431			,13061			 ,15196
,15765			 ,16780			  ,17790		   ,18094		    ,14171		     ,18838		      ,15399		       ,19139			,16509			 ,15827
,19532			 ,17434			  ,15807		   ,15992		    ,14478		     ,17901		      ,14872		       ,18604			,15959			 ,17718
