,9735			 ,8873			  ,7528			   ,8546		    ,11750		     ,13480		      ,9132		       ,9634			,10837			 ,9291
,10948			 ,12987			  ,11857		   ,11410		    ,10838		     ,13643		      ,10214		       ,11018			,10810			 ,10652
,14000			 ,14483			  ,17841		   ,14837		    ,13519		     ,16897		      ,14160		       ,14460			,15186			 ,15571
,21031			 ,20436			  ,24569		   ,19682		    ,18805		     ,21284		      ,18715		       ,24276			,20848			 ,29505
,23950			 ,23512			  ,24109		   ,26496		    ,23669		     ,24721		      ,22464		       ,24225			,27892			 ,31253
,29666			 ,25555			  ,34373		   ,26989		    ,28693		     ,27039		      ,23971		       ,28948			,31697			 ,32712
,32332			 ,34204			  ,34800		   ,29023		    ,35532		     ,29458		      ,29626		       ,35496			,31728			 ,30803
,33132			 ,35091			  ,37226		   ,35646		    ,33435		     ,37823		      ,36450		       ,33679			,33644			 ,34953
,41425			 ,35591			  ,38124		   ,40372		    ,37626		     ,37363		      ,38641		       ,35674			,37635			 ,42681
,38884			 ,40855			  ,41255		   ,44245		    ,43689		     ,40315		      ,42627		       ,44698			,38217			 ,45825
,46280			 ,47513			  ,41828		   ,52105		    ,47017		     ,46133		      ,43184		       ,47263			,49415			 ,47228
