,594			 ,610			  ,592			   ,585			    ,598		     ,599		      ,623		       ,625			,597			 ,644
,675			 ,646			  ,648			   ,656			    ,644		     ,635		      ,669		       ,654			,645			 ,702
,699			 ,703			  ,715			   ,686			    ,851		     ,736		      ,686		       ,716			,694			 ,733
,706			 ,711			  ,715			   ,690			    ,696		     ,710		      ,718		       ,713			,709			 ,880
,766			 ,764			  ,769			   ,803			    ,782		     ,775		      ,778		       ,771			,785			 ,771
,739			 ,733			  ,766			   ,752			    ,752		     ,758		      ,739		       ,761			,754			 ,746
,766			 ,780			  ,785			   ,768			    ,770		     ,780		      ,789		       ,785			,778			 ,781
,851			 ,831			  ,835			   ,828			    ,830		     ,820		      ,848		       ,849			,833			 ,833
,928			 ,929			  ,935			   ,933			    ,938		     ,931		      ,932		       ,944			,935			 ,939
,861			 ,859			  ,863			   ,844			    ,866		     ,872		      ,862		       ,868			,870			 ,858
,862			 ,849			  ,845			   ,852			    ,874		     ,853		      ,857		       ,857			,858			 ,869
