,272			 ,267			  ,248			   ,247			    ,325		     ,391		      ,244		       ,283			,316			 ,248
,257			 ,310			  ,265			   ,257			    ,268		     ,278		      ,277		       ,259			,286			 ,259
,296			 ,261			  ,312			   ,274			    ,278		     ,301		      ,275		       ,278			,275			 ,271
,316			 ,328			  ,309			   ,283			    ,282		     ,305		      ,268		       ,339			,298			 ,406
,299			 ,285			  ,282			   ,299			    ,259		     ,283		      ,280		       ,277			,308			 ,358
,309			 ,264			  ,352			   ,280			    ,307		     ,262		      ,261		       ,282			,313			 ,343
,306			 ,309			  ,319			   ,276			    ,296		     ,274		      ,277		       ,333			,282			 ,282
,277			 ,269			  ,317			   ,274			    ,288		     ,301		      ,272		       ,277			,277			 ,290
,351			 ,319			  ,340			   ,311			    ,319		     ,317		      ,334		       ,465			,324			 ,364
,277			 ,286			  ,288			   ,279			    ,284		     ,281		      ,283		       ,304			,282			 ,272
,234			 ,256			  ,229			   ,292			    ,228		     ,250		      ,242		       ,226			,284			 ,273
