,8	 ,33	  ,51	   ,35	    ,60	     ,44      ,47      ,557
,59	 ,54	  ,73	   ,56	    ,63	     ,70      ,56      ,568
,144	 ,73	  ,79	   ,75	    ,64	     ,77      ,131     ,575
,268	 ,102	  ,82	   ,78	    ,88	     ,126     ,114     ,683
,422	 ,118	  ,105	   ,99	    ,104     ,118     ,134     ,661
,616	 ,145	  ,124	   ,122	    ,120     ,117     ,155     ,667
,850	 ,176	  ,141	   ,135	    ,132     ,148     ,159     ,625
,1153	 ,202	  ,166	   ,161	    ,163     ,170     ,187     ,683
,1422	 ,230	  ,190	   ,176	    ,179     ,183     ,195     ,713
,1762	 ,256	  ,216	   ,201	    ,193     ,203     ,219     ,694
,2178	 ,290	  ,237	   ,226	    ,227     ,219     ,219     ,767
