,21    ,32    ,19    ,18    ,18	   ,22	  ,20	 ,22	,17    ,19
,27    ,26    ,22    ,25    ,25	   ,27	  ,26	 ,25	,22    ,28
,23    ,22    ,28    ,37    ,26	   ,26	  ,27	 ,33	,21    ,25
,30    ,27    ,30    ,31    ,34	   ,29	  ,33	 ,28	,36    ,28
,30    ,30    ,33    ,36    ,29	   ,32	  ,37	 ,30	,31    ,28
,34    ,36    ,38    ,34    ,32	   ,36	  ,31	 ,37	,35    ,34
,37    ,38    ,34    ,36    ,39	   ,39	  ,35	 ,39	,34    ,33
,41    ,52    ,39    ,40    ,40	   ,39	  ,42	 ,41	,39    ,42
,41    ,50    ,47    ,42    ,43	   ,44	  ,40	 ,43	,46    ,43
,46    ,51    ,50    ,50    ,52	   ,48	  ,47	 ,47	,49    ,47
,50    ,55    ,51    ,53    ,49	   ,52	  ,57	 ,50	,56    ,55
