,2501	       ,5445	      ,262179	     ,228617	    ,205347	   ,25916	  ,1133		 ,149617
,34705	       ,8817	      ,258757	     ,277107	    ,205160	   ,106417	  ,4931		 ,163381
,100445	       ,31276	      ,220299	     ,250714	    ,202987	   ,132806	  ,10772	 ,222109
,203069	       ,29873	      ,229052	     ,178551	    ,189039	   ,140005	  ,16987	 ,249642
,338383	       ,34660	      ,247382	     ,268817	    ,195865	   ,131246	  ,23128	 ,226530
,511283	       ,35264	      ,233248	     ,259173	    ,204468	   ,152780	  ,33073	 ,231393
,716474	       ,49208	      ,251152	     ,266259	    ,170604	   ,141120	  ,43502	 ,254049
,964607	       ,60778	      ,288547	     ,221884	    ,203468	   ,149177	  ,53509	 ,259423
,1232377       ,79765	      ,276367	     ,222599	    ,189475	   ,142276	  ,67291	 ,246687
,1545526       ,88581	      ,266267	     ,240038	    ,191750	   ,143388	  ,84727	 ,287509
,1915993       ,113892	      ,272742	     ,237847	    ,198538	   ,158548	  ,98582	 ,270655
