,23    ,17    ,24    ,18    ,24	   ,17	  ,22	 ,19	,25    ,26
,27    ,24    ,27    ,20    ,27	   ,30	  ,22	 ,22	,21    ,20
,30    ,23    ,32    ,25    ,23	   ,25	  ,22	 ,23	,25    ,22
,26    ,31    ,32    ,28    ,31	   ,29	  ,30	 ,28	,29    ,27
,39    ,34    ,33    ,29    ,30	   ,28	  ,35	 ,27	,30    ,31
,33    ,37    ,36    ,34    ,33	   ,35	  ,31	 ,38	,34    ,34
,39    ,36    ,35    ,34    ,37	   ,42	  ,35	 ,39	,38    ,36
,42    ,46    ,44    ,43    ,40	   ,39	  ,39	 ,42	,39    ,41
,45    ,43    ,47    ,43    ,44	   ,44	  ,48	 ,46	,44    ,51
,47    ,48    ,50    ,49    ,44	   ,51	  ,51	 ,48	,46    ,54
,58    ,49    ,55    ,57    ,52	   ,50	  ,50	 ,55	,55    ,56
