,18    ,28    ,17    ,18    ,19	   ,18	  ,18	 ,18	,18    ,18
,20    ,21    ,26    ,27    ,33	   ,22	  ,29	 ,23	,20    ,22
,27    ,26    ,22    ,29    ,29	   ,22	  ,23	 ,28	,23    ,26
,28    ,28    ,34    ,29    ,34	   ,29	  ,34	 ,28	,38    ,30
,30    ,31    ,33    ,33    ,30	   ,32	  ,34	 ,31	,35    ,30
,35    ,33    ,37    ,33    ,34	   ,33	  ,35	 ,30	,38    ,36
,37    ,41    ,40    ,39    ,39	   ,40	  ,39	 ,41	,34    ,36
,45    ,47    ,40    ,45    ,40	   ,42	  ,38	 ,42	,44    ,43
,44    ,46    ,45    ,48    ,46	   ,44	  ,47	 ,45	,47    ,51
,45    ,47    ,49    ,47    ,47	   ,51	  ,52	 ,44	,52    ,46
,55    ,56    ,54    ,49    ,54	   ,50	  ,53	 ,55	,57    ,57
