,8	 ,11	  ,268	   ,236	    ,214     ,32      ,3       ,416
,57	 ,35	  ,275	   ,292	    ,219     ,119     ,19      ,414
,141	 ,69	  ,246	   ,271	    ,223     ,155     ,31      ,610
,258	 ,84	  ,269	   ,207	    ,215     ,167     ,49      ,618
,409	 ,104	  ,292	   ,299	    ,227     ,161     ,61      ,615
,598	 ,122	  ,288	   ,309	    ,247     ,177     ,77      ,634
,818	 ,151	  ,316	   ,316	    ,207     ,183     ,86      ,639
,1080	 ,179	  ,366	   ,279	    ,254     ,187     ,108     ,676
,1365	 ,214	  ,349	   ,287	    ,247     ,194     ,122     ,705
,1692	 ,239	  ,349	   ,315	    ,267     ,204     ,162     ,695
,2090	 ,282	  ,380	   ,319	    ,276     ,226     ,142     ,694
