,18    ,23    ,29    ,18    ,18	   ,19	  ,20	 ,24	,19    ,18
,25    ,26    ,25    ,26    ,24	   ,28	  ,26	 ,28	,27    ,29
,30    ,25    ,22    ,26    ,30	   ,25	  ,27	 ,29	,28    ,22
,26    ,34    ,31    ,32    ,31	   ,33	  ,33	 ,30	,32    ,31
,30    ,28    ,33    ,28    ,33	   ,28	  ,31	 ,34	,30    ,33
,34    ,37    ,33    ,35    ,34	   ,34	  ,32	 ,38	,31    ,34
,35    ,44    ,41    ,39    ,36	   ,36	  ,39	 ,39	,45    ,40
,41    ,47    ,38    ,39    ,41	   ,43	  ,41	 ,38	,40    ,42
,47    ,43    ,49    ,46    ,44	   ,45	  ,44	 ,45	,43    ,46
,47    ,54    ,47    ,50    ,49	   ,53	  ,51	 ,50	,50    ,54
,53    ,57    ,59    ,49    ,55	   ,52	  ,51	 ,56	,56    ,55
