,368	       ,422	      ,591	     ,3419	    ,6170	   ,4831	  ,760		 ,9023
,1512	       ,1474	      ,2071	     ,4434	    ,7605	   ,7395	  ,10192	 ,9507
,2634	       ,2497	      ,6275	     ,7105	    ,10708	   ,10377	  ,13219	 ,11302
,3749	       ,3538	      ,9137	     ,10901	    ,12588	   ,16207	  ,22121	 ,13806
,4838	       ,4595	      ,11614	     ,6642	    ,13287	   ,15469	  ,16978	 ,16061
,5996	       ,5628	      ,13701	     ,21069	    ,20941	   ,7177	  ,27553	 ,19238
,7037	       ,6694	      ,16987	     ,16851	    ,10762	   ,21049	  ,20948	 ,21914
,8170	       ,7699	      ,19007	     ,19614	    ,22399	   ,12142	  ,23876	 ,23694
,9291	       ,8728	      ,9506	     ,20044	    ,22855	   ,26293	  ,26467	 ,27218
,10362	       ,9776	      ,10667	     ,25649	    ,32960	   ,30408	  ,53471	 ,31072
,11534	       ,10813	      ,27561	     ,27966	    ,35103	   ,35429	  ,13811	 ,33481
