,0				    ,56
,3				    ,72
,4				    ,44
,4				    ,84
,5				    ,46
,6				    ,44
,7				    ,127
,7				    ,151
,8				    ,63
,9				    ,66
,9				    ,73
,11				    ,46
,12				    ,43
,13				    ,188
,14				    ,60
,15				    ,56
,15				    ,87
,17				    ,50
,18				    ,129
,19				    ,48
,20				    ,68
,21				    ,117
,23				    ,55
,24				    ,106
,25				    ,54
,26				    ,109
,28				    ,101
,28				    ,108
,31				    ,50
,32				    ,61
,34				    ,57
,35				    ,75
,37				    ,116
,38				    ,64
,40				    ,62
,42				    ,153
,43				    ,91
,45				    ,89
,47				    ,82
,48				    ,124
,50				    ,63
,52				    ,60
,54				    ,68
,92				    ,168
,57				    ,75
,60				    ,127
,62				    ,121
,63				    ,72
,66				    ,135
,69				    ,62
,70				    ,68
,72				    ,101
,74				    ,110
,76				    ,101
,79				    ,66
,81				    ,66
,83				    ,115
,86				    ,106
,88				    ,77
,91				    ,228
,94				    ,75
,96				    ,103
,98				    ,129
,101				    ,89
,103				    ,122
,105				    ,82
,108				    ,83
,112				    ,118
,115				    ,125
,117				    ,93
