,286	       ,357	      ,2603	     ,2058	    ,1000	   ,206		  ,196		 ,248143
,1231	       ,1342	      ,5203	     ,4657	    ,1304	   ,1244	  ,433		 ,225067
,2197	       ,2366	      ,3033	     ,1903	    ,986	   ,5048	  ,1561		 ,361502
,3110	       ,3326	      ,7691	     ,1668	    ,1423	   ,980		  ,1493		 ,334402
,4044	       ,4350	      ,3504	     ,2709	    ,2400	   ,1827	  ,7103		 ,349742
,5105	       ,5993	      ,4531	     ,4443	    ,2105	   ,1861	  ,1283		 ,355921
,6160	       ,6528	      ,4750	     ,3533	    ,3304	   ,2502	  ,5389		 ,333163
,6874	       ,7359	      ,5750	     ,3891	    ,3155	   ,4848	  ,4111		 ,358730
,7918	       ,8423	      ,5993	     ,5025	    ,5426	   ,2223	  ,2365		 ,391734
,8800	       ,9381	      ,7047	     ,5535	    ,9949	   ,2992	  ,2113		 ,332620
,11221	       ,10433	      ,7155	     ,5177	    ,5180	   ,2727	  ,2893		 ,344781
