,5	       ,32	      ,53	     ,52	    ,54		   ,56		  ,57		 ,2586
,40	       ,57	      ,62	     ,64	    ,64		   ,66		  ,60		 ,2848
,68	       ,87	      ,71	     ,68	    ,68		   ,73		  ,68		 ,2254
,102	       ,116	      ,96	     ,78	    ,88		   ,78		  ,80		 ,2281
,134	       ,145	      ,109	     ,101	    ,98		   ,88		  ,90		 ,2324
,177	       ,182	      ,135	     ,113	    ,106	   ,96		  ,92		 ,3108
,197	       ,203	      ,140	     ,122	    ,128	   ,111		  ,111		 ,2759
,227	       ,247	      ,165	     ,128	    ,136	   ,110		  ,119		 ,2700
,270	       ,257	      ,167	     ,135	    ,138	   ,127		  ,127		 ,3117
,320	       ,283	      ,199	     ,146	    ,156	   ,133		  ,136		 ,3919
,380	       ,333	      ,222	     ,175	    ,145	   ,143		  ,141		 ,2582
