,6353			 ,5919			  ,5876			   ,5919		    ,5805		     ,5773		      ,5884		       ,5882			,5823			 ,5814
,23061			 ,22787			  ,23093		   ,22597		    ,22589		     ,22704		      ,23045		       ,22872			,23243			 ,22978
,41054			 ,40977			  ,41060		   ,41210		    ,40924		     ,41225		      ,41556		       ,41641			,41251			 ,42425
,59576			 ,60499			  ,59367		   ,59318		    ,59756		     ,60276		      ,59271		       ,59483			,60527			 ,59760
,78234			 ,229885		  ,77969		   ,86480		    ,78028		     ,77809		      ,78314		       ,103892			,78340			 ,84108
,108192			 ,145921		  ,97110		   ,114059		    ,107533		     ,98796		      ,99829		       ,96211			,98306			 ,100104
,115269			 ,138798		  ,152387		   ,115331		    ,115316		     ,115146		      ,114870		       ,114847			,129200			 ,115431
,179862			 ,134543		  ,192822		   ,178983		    ,134292		     ,187374		      ,134344		       ,133958			,135002			 ,151315
,152241			 ,160319		  ,159796		   ,325353		    ,193547		     ,244254		      ,161144		       ,153102			,233544			 ,159546
,334458			 ,170701		  ,179918		   ,171191		    ,237994		     ,205372		      ,171397		       ,171088			,171051			 ,275005
,191026			 ,200622		  ,189741		   ,189919		    ,190338		     ,273084		      ,189924		       ,190563			,189671			 ,260736
