,7575			 ,7709			  ,7480			   ,7432		    ,7691		     ,7625		      ,7544		       ,7824			,7530			 ,7577
,20486			 ,20196			  ,20495		   ,22054		    ,20431		     ,20142		      ,21619		       ,20657			,20403			 ,21639
,26485			 ,30124			  ,27499		   ,28734		    ,29321		     ,27690		      ,27767		       ,26893			,26828			 ,29431
,33301			 ,32089			  ,38542		   ,33305		    ,35086		     ,32313		      ,33032		       ,32370			,32899			 ,32033
,42163			 ,43055			  ,44789		   ,43235		    ,42378		     ,45035		      ,42244		       ,41530			,46820			 ,46489
,48141			 ,50306			  ,49535		   ,48188		    ,52155		     ,53887		      ,55360		       ,52381			,53698			 ,64159
,59794			 ,58470			  ,59738		   ,56879		    ,59269		     ,63129		      ,60658		       ,59639			,56718			 ,58993
,65225			 ,69997			  ,67076		   ,66740		    ,65635		     ,65282		      ,68235		       ,65349			,70454			 ,63969
,78765			 ,72105			  ,72387		   ,74399		    ,76774		     ,75394		      ,73240		       ,71404			,71900			 ,73781
,86511			 ,95784			  ,86366		   ,80700		    ,95112		     ,85313		      ,82682		       ,83219			,80328			 ,96925
,93332			 ,97697			  ,88363		   ,102502		    ,90992		     ,95512		      ,99532		       ,98691			,103283			 ,87116
