,1641			 ,1722			  ,1717			   ,1735		    ,2609		     ,1800		      ,1759		       ,1793			,2697			 ,1610
,2403			 ,2117			  ,2153			   ,2299		    ,2003		     ,2331		      ,2547		       ,2027			,2275			 ,2179
,2528			 ,2910			  ,3299			   ,3452		    ,2523		     ,2980		      ,2686		       ,2294			,4450			 ,2894
,4013			 ,4266			  ,3756			   ,4991		    ,3433		     ,2994		      ,3791		       ,3338			,3203			 ,3220
,4966			 ,3300			  ,5104			   ,3382		    ,3326		     ,3386		      ,3192		       ,3325			,3582			 ,4032
,3637			 ,4116			  ,3753			   ,3536		    ,3694		     ,4293		      ,3541		       ,4072			,3937			 ,4401
,5318			 ,4153			  ,3896			   ,5524		    ,4810		     ,3711		      ,4854		       ,3966			,4433			 ,3975
,4391			 ,4451			  ,4221			   ,4765		    ,4131		     ,4092		      ,3956		       ,4026			,3923			 ,3877
,3763			 ,4250			  ,4214			   ,3953		    ,4386		     ,4120		      ,4322		       ,4291			,4046			 ,4190
,4720			 ,4867			  ,5034			   ,4205		    ,4358		     ,4282		      ,4933		       ,4195			,4277			 ,7031
,5147			 ,5177			  ,4271			   ,4414		    ,5395		     ,4603		      ,4878		       ,4511			,4564			 ,4372
