,6441			 ,6443			  ,6091			   ,6137		    ,6094		     ,6991		      ,5921		       ,6356			,6087			 ,6996
,8380			 ,7195			  ,10102		   ,7915		    ,8964		     ,8617		      ,6881		       ,8120			,7444			 ,6777
,9216			 ,10674			  ,8077			   ,9194		    ,9510		     ,8479		      ,9456		       ,7570			,8143			 ,8836
,9572			 ,10343			  ,8887			   ,9980		    ,9582		     ,9447		      ,10050		       ,10123			,9995			 ,9245
,12038			 ,11531			  ,11878		   ,9617		    ,9995		     ,10129		      ,11054		       ,9777			,9704			 ,11554
,11746			 ,11392			  ,10175		   ,9709		    ,11017		     ,10478		      ,10630		       ,12284			,11102			 ,10535
,10878			 ,10289			  ,12313		   ,10310		    ,12723		     ,12260		      ,10912		       ,10611			,10615			 ,11159
,12422			 ,12680			  ,11334		   ,12569		    ,12840		     ,12085		      ,10374		       ,11536			,11552			 ,12177
,11724			 ,15236			  ,12060		   ,11928		    ,12149		     ,11241		      ,14690		       ,11575			,12967			 ,11789
,12013			 ,12334			  ,12538		   ,12284		    ,12946		     ,12346		      ,11898		       ,11844			,11841			 ,12396
,13061			 ,13022			  ,12365		   ,11978		    ,12127		     ,12362		      ,11849		       ,13563			,12013			 ,12300
