,7020			 ,7031			  ,7080			   ,7075		    ,6973		     ,6931		      ,7047		       ,7156			,6950			 ,6999
,24007			 ,23895			  ,24746		   ,24182		    ,23142		     ,23975		      ,23637		       ,24165			,25292			 ,24163
,41234			 ,40929			  ,40938		   ,40207		    ,40910		     ,41433		      ,41330		       ,42151			,40698			 ,42144
,58008			 ,58166			  ,57991		   ,57169		    ,57394		     ,57757		      ,56737		       ,57304			,56883			 ,56817
,72784			 ,209341		  ,72700		   ,80382		    ,73093		     ,72534		      ,72947		       ,96169			,72768			 ,77772
,99002			 ,132739		  ,88929		   ,104092		    ,98627		     ,90427		      ,91588		       ,88752			,89247			 ,92367
,104025			 ,124408		  ,136866		   ,103916		    ,105412		     ,103804		      ,104320		       ,103838			,116122			 ,104071
,160880			 ,119847		  ,170669		   ,159153		    ,120755		     ,165426		      ,119759		       ,120754			,120281			 ,134765
,135320			 ,140151		  ,141629		   ,284298		    ,171822		     ,215420		      ,142379		       ,135368			,211227			 ,141327
,292586			 ,150833		  ,157915		   ,150452		    ,207887		     ,179837		      ,150180		       ,150326			,150398			 ,238464
,166149			 ,174416		  ,165530		   ,166078		    ,165239		     ,237311		      ,164744		       ,165759			,165065			 ,223657
