,3035			 ,3292			  ,3112			   ,3066		    ,3034		     ,2916		      ,2943		       ,3179			,3009			 ,2965
,3275			 ,3412			  ,3576			   ,3183		    ,3165		     ,3288		      ,4176		       ,3369			,3334			 ,3445
,3970			 ,3266			  ,4578			   ,3624		    ,3438		     ,3398		      ,3504		       ,6243			,3577			 ,4304
,3928			 ,4149			  ,3691			   ,4178		    ,4660		     ,5130		      ,4594		       ,3873			,4096			 ,3872
,4018			 ,3894			  ,4238			   ,4737		    ,4885		     ,4150		      ,4264		       ,5097			,4023			 ,4378
,4704			 ,4291			  ,5916			   ,4720		    ,4134		     ,4148		      ,4244		       ,4237			,4286			 ,3929
,5716			 ,4722			  ,4344			   ,4325		    ,4160		     ,4441		      ,4728		       ,6045			,5601			 ,4283
,4700			 ,5002			  ,4444			   ,5961		    ,5440		     ,5165		      ,4093		       ,5845			,5164			 ,4860
,5657			 ,4825			  ,5887			   ,5399		    ,4411		     ,5612		      ,4830		       ,5352			,4627			 ,4988
,5974			 ,4452			  ,4813			   ,6039		    ,5277		     ,5845		      ,5674		       ,4546			,4639			 ,5361
,5813			 ,4948			  ,4877			   ,4574		    ,4886		     ,5008		      ,5258		       ,5319			,5869			 ,5344
