,3268			 ,3040			  ,2849			   ,3006		    ,2590		     ,3170		      ,2895		       ,2840			,3537			 ,2859
,7249			 ,6341			  ,7479			   ,7074		    ,6679		     ,6589		      ,6834		       ,6475			,6070			 ,6779
,11283			 ,10381			  ,11453		   ,11152		    ,10687		     ,10609		      ,10425		       ,9615			,10677			 ,10213
,13667			 ,14921			  ,13445		   ,13665		    ,15824		     ,15090		      ,13702		       ,14883			,14759			 ,15583
,20157			 ,19267			  ,17915		   ,19860		    ,19802		     ,20333		      ,19565		       ,18778			,19314			 ,19550
,23293			 ,22800			  ,22317		   ,21101		    ,21604		     ,22688		      ,22917		       ,21759			,23295			 ,22918
,26305			 ,23609			  ,24136		   ,26765		    ,24766		     ,24217		      ,26805		       ,26490			,24558			 ,27630
,28381			 ,29322			  ,29965		   ,29323		    ,30935		     ,28696		      ,26743		       ,30623			,29457			 ,29989
,31986			 ,32885			  ,33406		   ,34405		    ,31435		     ,34061		      ,35154		       ,31384			,34414			 ,31499
,36650			 ,34755			  ,35380		   ,36196		    ,36688		     ,37349		      ,37734		       ,37496			,37878			 ,37793
,39102			 ,38190			  ,40181		   ,38363		    ,40986		     ,40982		      ,40876		       ,42812			,42613			 ,39106
