,106			 ,103			  ,106			   ,129			    ,103		     ,110		      ,118		       ,108			,102			 ,103
,139			 ,132			  ,127			   ,140			    ,130		     ,130		      ,129		       ,131			,135			 ,131
,167			 ,164			  ,160			   ,154			    ,153		     ,166		      ,161		       ,151			,168			 ,169
,181			 ,199			  ,186			   ,191			    ,183		     ,185		      ,184		       ,186			,190			 ,185
,211			 ,202			  ,206			   ,203			    ,207		     ,205		      ,202		       ,216			,210			 ,216
,229			 ,227			  ,233			   ,222			    ,225		     ,232		      ,226		       ,223			,225			 ,227
,251			 ,246			  ,252			   ,252			    ,253		     ,258		      ,256		       ,249			,258			 ,252
,280			 ,296			  ,267			   ,274			    ,278		     ,271		      ,271		       ,267			,273			 ,294
,289			 ,302			  ,297			   ,295			    ,287		     ,293		      ,291		       ,300			,293			 ,294
,321			 ,321			  ,322			   ,317			    ,318		     ,315		      ,319		       ,322			,315			 ,328
,344			 ,354			  ,341			   ,342			    ,337		     ,340		      ,338		       ,338			,337			 ,336
