,586		 ,579		  ,573		   ,583		    ,595	     ,585	      ,614
,633		 ,648		  ,717		   ,938		    ,632	     ,808	      ,650
,728		 ,752		  ,729		   ,855		    ,848	     ,750	      ,694
,784		 ,867		  ,865		   ,826		    ,797	     ,820	      ,760
,889		 ,959		  ,904		   ,873		    ,902	     ,878	      ,859
,1028		 ,1014		  ,1008		   ,997		    ,997	     ,986	      ,972
,1143		 ,1132		  ,1137		   ,1104	    ,1117	     ,1106	      ,1113
,1249		 ,1283		  ,1301		   ,1250	    ,1253	     ,1269	      ,1287
,1418		 ,1413		  ,1406		   ,1572	    ,1428	     ,1418	      ,1414
,1553		 ,1572		  ,1583		   ,1579	    ,1583	     ,1589	      ,1576
,1708		 ,1691		  ,1723		   ,1730	    ,1728	     ,1714	      ,1716
,1854		 ,1847		  ,1854		   ,1870	    ,1874	     ,1862	      ,1854
,2006		 ,2031		  ,2016		   ,2012	    ,2011	     ,2020	      ,2017
,2163		 ,2164		  ,2151		   ,2155	    ,2155	     ,2164	      ,2159
,2317		 ,2307		  ,2307		   ,2297	    ,2300	     ,2311	      ,2312
,2449		 ,2459		  ,2453		   ,2459	    ,2450	     ,2470	      ,2456
,2611		 ,2611		  ,2623		   ,2611	    ,2609	     ,2600	      ,2611
,2762		 ,2768		  ,2782		   ,2768	    ,2769	     ,2759	      ,2769
,2937		 ,2929		  ,2935		   ,2934	    ,2925	     ,2925	      ,2921
,3046		 ,3046		  ,3206		   ,3055	    ,3048	     ,3058	      ,3040
,3235		 ,3245		  ,3260		   ,3243	    ,3234	     ,3235	      ,3232
,3394		 ,3396		  ,3404		   ,3385	    ,3402	     ,3428	      ,3414
,3556		 ,3560		  ,3542		   ,3536	    ,3551	     ,3544	      ,3544
,3673		 ,3697		  ,3668		   ,3669	    ,3674	     ,3664	      ,3665
,3834		 ,3837		  ,3841		   ,3837	    ,3862	     ,3853	      ,3844
,3992		 ,3992		  ,4006		   ,3996	    ,3978	     ,3992	      ,3993
,4140		 ,4140		  ,4144		   ,4167	    ,4152	     ,4140	      ,4161
,4300		 ,4289		  ,4300		   ,4305	    ,4302	     ,4345	      ,4299
,4449		 ,4454		  ,4470		   ,4450	    ,4464	     ,4461	      ,4448
,4596		 ,4605		  ,4598		   ,4590	    ,4605	     ,4605	      ,4622
,4752		 ,4733		  ,4775		   ,4754	    ,4764	     ,4767	      ,4757
,4892		 ,4897		  ,4924		   ,4903	    ,4894	     ,4917	      ,4925
,5047		 ,5052		  ,5057		   ,5039	    ,5040	     ,5045	      ,5051
