,3976		 ,5179		  ,5616		   ,6517	    ,8919	     ,9851	      ,16174
,6526		 ,8491		  ,11546	   ,13399	    ,10507	     ,16706	      ,18835
,10265		 ,14663		  ,14056	   ,23761	    ,21912	     ,19081	      ,20921
,14040		 ,22905		  ,26017	   ,23069	    ,22507	     ,25629	      ,24887
,21589		 ,44681		  ,39571	   ,36229	    ,40289	     ,41025	      ,48857
,35375		 ,54617		  ,55012	   ,52942	    ,59407	     ,59804	      ,69163
,45468		 ,66989		  ,68217	   ,76524	    ,81895	     ,75819	      ,93700
,42787		 ,82862		  ,80762	   ,95556	    ,100396	     ,100743	      ,116827
,49920		 ,94478		  ,95355	   ,100645	    ,99391	     ,110524	      ,131049
,57103		 ,104489	  ,111385	   ,132862	    ,130080	     ,130205	      ,159696
,64085		 ,124723	  ,120388	   ,137588	    ,147425	     ,177923	      ,184387
,71198		 ,140206	  ,139145	   ,160290	    ,154688	     ,176623	      ,191782
,78182		 ,164560	  ,175853	   ,164107	    ,195124	     ,197137	      ,181233
,85335		 ,157896	  ,178737	   ,179618	    ,185433	     ,199071	      ,232648
,92484		 ,171546	  ,210971	   ,188499	    ,204890	     ,223928	      ,251543
,99434		 ,192120	  ,193813	   ,213051	    ,235156	     ,254779	      ,253080
,106463		 ,228182	  ,235940	   ,244721	    ,226865	     ,306875	      ,295624
,113771		 ,231610	  ,240099	   ,245901	    ,241865	     ,255263	      ,305272
,120315		 ,231733	  ,283673	   ,278574	    ,254599	     ,348986	      ,367637
,127749		 ,268775	  ,255313	   ,276693	    ,289853	     ,373127	      ,358730
,134758		 ,299417	  ,293337	   ,338493	    ,286939	     ,364666	      ,372589
,141951		 ,273695	  ,335829	   ,304124	    ,345162	     ,374742	      ,431363
,148775		 ,308020	  ,349964	   ,344103	    ,341628	     ,372133	      ,386042
,156170		 ,343575	  ,369687	   ,366645	    ,381787	     ,455400	      ,371930
,163432		 ,315641	  ,328716	   ,344628	    ,404454	     ,434883	      ,384952
,170130		 ,339896	  ,369687	   ,435224	    ,393051	     ,393300	      ,521246
,177011		 ,368095	  ,399512	   ,446495	    ,406271	     ,412241	      ,421102
,184047		 ,369144	  ,415807	   ,438168	    ,459842	     ,498067	      ,523454
,190826		 ,380711	  ,458339	   ,403053	    ,505296	     ,513513	      ,541960
,197671		 ,394585	  ,445043	   ,468818	    ,493865	     ,501842	      ,574294
,204685		 ,430509	  ,422901	   ,525229	    ,477423	     ,562911	      ,558407
,211420		 ,470346	  ,478237	   ,541589	    ,469443	     ,571451	      ,581857
,218761		 ,461654	  ,533771	   ,492277	    ,507955	     ,588631	      ,678964
