,4988		 ,5628		  ,5899		   ,6597	    ,8603	     ,8688	      ,17759
,8173		 ,7330		  ,9174		   ,10066	    ,9672	     ,16290	      ,19077
,9905		 ,9433		  ,8907		   ,13973	    ,13417	     ,14273	      ,18187
,12727		 ,12466		  ,12736	   ,10757	    ,11971	     ,13120	      ,18296
,19119		 ,17078		  ,14217	   ,12984	    ,13888	     ,13863	      ,18097
,29864		 ,18947		  ,16734	   ,14767	    ,15508	     ,15089	      ,18779
,37853		 ,21695		  ,19987	   ,16500	    ,16500	     ,15752	      ,21686
,35658		 ,24719		  ,21573	   ,18557	    ,18367	     ,17560	      ,21478
,40885		 ,26074		  ,23956	   ,20517	    ,20220	     ,18959	      ,22259
,46765		 ,28657		  ,26767	   ,22715	    ,21912	     ,20438	      ,25026
,52315		 ,31668		  ,27035	   ,24183	    ,23760	     ,21723	      ,23898
,59152		 ,35275		  ,27957	   ,26853	    ,25106	     ,23243	      ,25928
,64271		 ,38136		  ,29060	   ,28925	    ,27226	     ,24967	      ,27602
,69477		 ,40484		  ,31750	   ,31615	    ,29222	     ,25560	      ,29290
,75588		 ,44219		  ,32959	   ,32672	    ,30338	     ,27626	      ,31008
,78532		 ,46491		  ,35264	   ,35087	    ,31440	     ,29876	      ,33274
,86283		 ,49806		  ,37689	   ,36295	    ,34228	     ,30070	      ,33853
,91693		 ,53121		  ,39771	   ,38810	    ,34959	     ,32539	      ,36492
,97285		 ,55682		  ,42085	   ,40337	    ,37382	     ,34272	      ,36815
,102804		 ,58970		  ,44114	   ,43608	    ,38750	     ,36892	      ,39990
,109563		 ,62076		  ,46305	   ,42926	    ,41331	     ,36475	      ,38263
,114676		 ,65543		  ,47509	   ,45904	    ,43430	     ,40093	      ,41319
,119752		 ,67419		  ,50439	   ,48932	    ,44455	     ,42191	      ,43334
,125468		 ,70955		  ,51646	   ,49828	    ,46903	     ,42268	      ,44665
,132863		 ,74153		  ,54643	   ,52798	    ,48684	     ,44046	      ,44895
,136920		 ,76065		  ,56880	   ,52708	    ,50867	     ,44565	      ,48329
,144344		 ,79223		  ,58270	   ,55340	    ,51590	     ,45723	      ,48804
,147535		 ,78911		  ,60575	   ,57372	    ,52741	     ,48402	      ,49754
,154119		 ,86190		  ,63423	   ,60389	    ,54416	     ,48863	      ,49427
,158767		 ,88175		  ,65331	   ,61793	    ,55924	     ,49803	      ,50054
,166339		 ,91956		  ,66820	   ,64213	    ,57911	     ,51058	      ,52514
,170071		 ,93614		  ,68527	   ,66786	    ,59669	     ,54152	      ,54370
,179455		 ,97725		  ,71108	   ,66651	    ,60507	     ,53974	      ,57545
