,1984		 ,2400		  ,2951		   ,3536	    ,5148	     ,7128	      ,16421
,5190		 ,7126		  ,6865		   ,7933	    ,7544	     ,8778	      ,17520
,9476		 ,12560		  ,13468	   ,12439	    ,13128	     ,15084	      ,18802
,12738		 ,16672		  ,17702	   ,19392	    ,21151	     ,21822	      ,25307
,49362		 ,33858		  ,34050	   ,39113	    ,41603	     ,41677	      ,48017
,47719		 ,48131		  ,53108	   ,58647	    ,55317	     ,60965	      ,71890
,83529		 ,60840		  ,69132	   ,68055	    ,75026	     ,72009	      ,93799
,107151		 ,79996		  ,89880	   ,93905	    ,83521	     ,91048	      ,106893
,124703		 ,93258		  ,95599	   ,108069	    ,98399	     ,108698	      ,137255
,125365		 ,110154	  ,124081	   ,131673	    ,118602	     ,135229	      ,160215
,140978		 ,121781	  ,133645	   ,126553	    ,155934	     ,145285	      ,168897
,163518		 ,155991	  ,147297	   ,170367	    ,146491	     ,166741	      ,191026
,141096		 ,168273	  ,172933	   ,187352	    ,160912	     ,216481	      ,226105
,132560		 ,184764	  ,188428	   ,193175	    ,177673	     ,218128	      ,250777
,144431		 ,178212	  ,197661	   ,213256	    ,220245	     ,262973	      ,210224
,152693		 ,192642	  ,227401	   ,214277	    ,254930	     ,263087	      ,261725
,152205		 ,233645	  ,229630	   ,218290	    ,254662	     ,307324	      ,282546
,154584		 ,245155	  ,249701	   ,260968	    ,240971	     ,295388	      ,301683
,157507		 ,245795	  ,265875	   ,294496	    ,269889	     ,322787	      ,280327
,157121		 ,245441	  ,297036	   ,295782	    ,333017	     ,368995	      ,387602
,153887		 ,259739	  ,300678	   ,280214	    ,330074	     ,332978	      ,410116
,164580		 ,272982	  ,314053	   ,331195	    ,349663	     ,384386	      ,365755
,166626		 ,311749	  ,349181	   ,374180	    ,324097	     ,402329	      ,388946
,170287		 ,322668	  ,335533	   ,326059	    ,417728	     ,457700	      ,371183
,174847		 ,356838	  ,348432	   ,384516	    ,429234	     ,480349	      ,444089
,175045		 ,339471	  ,384940	   ,400888	    ,449175	     ,457036	      ,480325
,181355		 ,353229	  ,423981	   ,419974	    ,470123	     ,409589	      ,481712
,188757		 ,403684	  ,438909	   ,437251	    ,425667	     ,425703	      ,565593
,191753		 ,430322	  ,462398	   ,483786	    ,479463	     ,567085	      ,497467
,198819		 ,387686	  ,453532	   ,471648	    ,493806	     ,544191	      ,609064
,205157		 ,413034	  ,466877	   ,526998	    ,450721	     ,475995	      ,533956
,212085		 ,453457	  ,461218	   ,451311	    ,462758	     ,494597	      ,648918
,218893		 ,434075	  ,505673	   ,468546	    ,548415	     ,556044	      ,676783
