,1646		 ,2330		  ,2684		   ,3279	    ,4947	     ,6231	      ,15405
,5083		 ,5470		  ,5252		   ,5307	    ,5815	     ,8116	      ,16150
,8655		 ,8302		  ,6695		   ,7368	    ,10264	     ,8025	      ,17714
,12335		 ,9833		  ,8749		   ,10062	    ,9648	     ,10526	      ,16729
,42103		 ,12863		  ,11991	   ,10847	    ,12347	     ,11682	      ,17812
,41572		 ,16021		  ,15118	   ,13617	    ,14295	     ,13550	      ,18780
,70136		 ,19670		  ,16901	   ,15867	    ,15515	     ,14548	      ,20799
,89891		 ,24048		  ,18940	   ,18548	    ,17066	     ,16201	      ,19081
,102768		 ,26136		  ,22015	   ,19999	    ,19699	     ,17304	      ,20565
,102594		 ,28247		  ,23165	   ,22668	    ,21164	     ,19288	      ,23025
,114714		 ,31837		  ,25450	   ,24137	    ,23059	     ,20965	      ,23480
,135745		 ,34336		  ,26811	   ,26505	    ,25432	     ,22432	      ,25023
,116501		 ,37833		  ,28426	   ,27971	    ,26053	     ,24067	      ,25483
,107642		 ,40209		  ,30784	   ,30073	    ,28338	     ,25044	      ,27130
,119004		 ,43819		  ,32713	   ,32738	    ,29613	     ,25857	      ,28113
,122362		 ,47118		  ,34850	   ,33847	    ,31882	     ,28425	      ,31301
,123387		 ,49730		  ,37225	   ,36482	    ,33761	     ,30148	      ,31850
,125499		 ,53610		  ,39833	   ,38855	    ,34647	     ,30607	      ,33898
,127732		 ,56168		  ,41665	   ,40268	    ,37307	     ,32833	      ,33829
,126454		 ,58429		  ,43702	   ,42383	    ,38942	     ,38673	      ,38368
,126095		 ,60743		  ,45407	   ,43616	    ,41529	     ,37631	      ,41332
,133301		 ,65516		  ,46121	   ,46478	    ,43052	     ,39885	      ,40210
,134021		 ,68482		  ,49628	   ,48296	    ,44140	     ,39360	      ,42020
,137551		 ,70804		  ,52059	   ,49706	    ,45712	     ,41731	      ,42356
,142429		 ,73563		  ,53899	   ,51433	    ,47172	     ,42942	      ,46048
,140975		 ,74750		  ,55905	   ,53016	    ,48973	     ,43948	      ,46523
,147995		 ,80405		  ,57941	   ,54872	    ,50726	     ,45278	      ,48426
,150634		 ,83126		  ,60113	   ,56751	    ,52015	     ,46915	      ,49100
,155025		 ,85203		  ,61741	   ,60540	    ,53533	     ,48200	      ,50914
,159222		 ,87748		  ,64358	   ,61729	    ,55383	     ,49543	      ,50966
,165944		 ,92075		  ,66375	   ,63143	    ,58320	     ,50784	      ,52230
,170355		 ,95419		  ,68628	   ,66193	    ,59117	     ,51712	      ,54617
,179680		 ,97338		  ,70771	   ,65682	    ,62244	     ,54748	      ,56446
