,650		 ,1214		  ,1365		   ,1775	    ,2678	     ,3178	      ,7853
,2145		 ,1740		  ,2044		   ,2966	    ,3662	     ,3311	      ,8147
,2749		 ,2648		  ,3158		   ,3326	    ,3285	     ,4305	      ,8142
,3742		 ,3645		  ,3807		   ,3297	    ,4280	     ,4268	      ,7589
,9427		 ,4128		  ,4396		   ,4014	    ,4898	     ,5181	      ,7897
,8464		 ,4855		  ,4772		   ,5059	    ,5371	     ,5141	      ,8415
,12638		 ,5421		  ,5277		   ,5335	    ,6011	     ,5546	      ,8239
,15360		 ,6511		  ,6041		   ,5906	    ,6053	     ,6463	      ,8223
,17533		 ,6858		  ,6535		   ,6173	    ,6615	     ,6620	      ,8233
,17087		 ,7474		  ,7041		   ,6535	    ,7610	     ,6829	      ,8544
,19340		 ,8170		  ,7408		   ,7102	    ,7706	     ,7250	      ,9120
,20746		 ,8962		  ,7944		   ,7619	    ,8259	     ,7828	      ,9414
,18542		 ,9345		  ,8476		   ,8111	    ,8096	     ,8248	      ,8630
,16971		 ,10119		  ,9006		   ,8587	    ,8596	     ,8510	      ,9135
,18440		 ,10612		  ,9357		   ,8956	    ,8952	     ,8440	      ,9506
,19332		 ,11289		  ,9794		   ,9514	    ,9377	     ,9153	      ,10428
,18795		 ,12057		  ,10337	   ,9877	    ,9892	     ,9395	      ,11048
,19570		 ,12788		  ,10713	   ,10355	    ,10511	     ,9820	      ,11267
,19899		 ,13193		  ,11327	   ,10687	    ,10765	     ,10341	      ,12415
,19587		 ,13912		  ,11724	   ,11331	    ,11452	     ,13891	      ,14305
,19362		 ,14556		  ,11935	   ,11428	    ,12125	     ,11503	      ,14590
,20456		 ,15092		  ,12665	   ,12168	    ,12554	     ,12336	      ,13923
,20389		 ,15722		  ,13136	   ,12708	    ,13057	     ,12326	      ,15323
,21042		 ,16195		  ,13164	   ,13488	    ,13282	     ,13076	      ,14099
,21754		 ,16974		  ,13612	   ,13098	    ,13853	     ,14390	      ,15014
,22010		 ,17438		  ,14121	   ,13826	    ,14757	     ,13528	      ,15850
,22595		 ,18030		  ,14620	   ,13820	    ,14599	     ,14865	      ,17545
,23357		 ,18476		  ,14923	   ,14334	    ,15446	     ,14775	      ,16932
,23916		 ,19216		  ,15172	   ,14893	    ,15212	     ,15296	      ,17616
,24701		 ,19608		  ,15775	   ,15229	    ,16110	     ,15246	      ,16393
,25393		 ,20537		  ,16121	   ,15727	    ,16545	     ,16697	      ,17130
,26144		 ,20731		  ,16814	   ,16161	    ,16957	     ,16169	      ,17736
,26945		 ,21687		  ,17108	   ,16836	    ,17234	     ,16093	      ,18047
