,3098	       ,12235	      ,16435	     ,16909	    ,17912	   ,19073	  ,6320		 ,14548
,35476	       ,41327	      ,38211	     ,39380	    ,37948	   ,52115	  ,42586	 ,17889
,100522	       ,74996	      ,66773	     ,67663	    ,63492	   ,65427	  ,63952	 ,17720
,202424	       ,88833	      ,93142	     ,94849	    ,84823	   ,89564	  ,65765	 ,21226
,337525	       ,169176	      ,131763	     ,123677	    ,113432	   ,57434	  ,110324	 ,26948
,509168	       ,191835	      ,165866	     ,158575	    ,142488	   ,37202	  ,139266	 ,32253
,717390	       ,73963	      ,46726	     ,198923	    ,151201	   ,156775	  ,38152	 ,56597
,988512	       ,116181	      ,62993	     ,240317	    ,54832	   ,52926	  ,81148	 ,42353
,1232783       ,143136	      ,74902	     ,66548	    ,55337	   ,115642	  ,53320	 ,49947
,1545464       ,135617	      ,81281	     ,84184	    ,71497	   ,62064	  ,67470	 ,56222
,1914223       ,163660	      ,111849	     ,99422	    ,71975	   ,94679	  ,110844	 ,62597
