,364	       ,11698	      ,18621	     ,17681	    ,19622	   ,30861	  ,8678		 ,22028
,1380	       ,21470	      ,22767	     ,28798	    ,34301	   ,41695	  ,44510	 ,20582
,2223	       ,25057	      ,28251	     ,31129	    ,37101	   ,37468	  ,65532	 ,22041
,3192	       ,23361	      ,28440	     ,30290	    ,31594	   ,38017	  ,37495	 ,18510
,4147	       ,35995	      ,31060	     ,33951	    ,39752	   ,21521	  ,43340	 ,19688
,5100	       ,35272	      ,34949	     ,36112	    ,39071	   ,12713	  ,51884	 ,17042
,6107	       ,12945	      ,10722	     ,39203	    ,33450	   ,38659	  ,10615	 ,32908
,7777	       ,17894	      ,12876	     ,42156	    ,12027	   ,14854	  ,20941	 ,17993
,9175	       ,20056	      ,12891	     ,12786	    ,12919	   ,26282	  ,20696	 ,23442
,8938	       ,17880	      ,13160	     ,14025	    ,13954	   ,15219	  ,16348	 ,19544
,9910	       ,19160	      ,16102	     ,14846	    ,12290	   ,17101	  ,21306	 ,19612
