,11	 ,82	  ,86	   ,104	    ,107     ,141     ,163     ,83
,58	 ,197	  ,169	   ,181	    ,174     ,197     ,65      ,282
,142	 ,304	  ,231	   ,239	    ,235     ,249     ,268     ,380
,262	 ,412	  ,312	   ,298	    ,87	     ,304     ,320     ,100
,415	 ,523	  ,378	   ,370	    ,343     ,100     ,81      ,110
,605	 ,635	  ,148	   ,188	    ,405     ,413     ,109     ,178
,819	 ,748	  ,149	   ,498	    ,117     ,468     ,110     ,150
,1074	 ,233	  ,150	   ,565	    ,132     ,137     ,130     ,133
,1364	 ,266	  ,179	   ,149	    ,593     ,413     ,133     ,149
,1689	 ,405	  ,198	   ,183	    ,169     ,150     ,442     ,159
,2088	 ,712	  ,260	   ,194	    ,179     ,170     ,155     ,174
