,13	       ,4675	      ,10628	     ,10277	    ,11574	   ,14364	  ,17742	 ,10193
,47	       ,7099	      ,7255	     ,12494	    ,11763	   ,14707	  ,6764		 ,33022
,72	       ,7324	      ,7724	     ,11384	    ,10115	   ,14142	  ,24072	 ,41935
,99	       ,7393	      ,8091	     ,10248	    ,4209	   ,16187	  ,17396	 ,9155
,125	       ,7801	      ,8419	     ,10424	    ,11203	   ,4534	  ,4845		 ,9115
,160	       ,8010	      ,3412	     ,5282	    ,14511	   ,14428	  ,6364		 ,12733
,185	       ,8246	      ,3182	     ,10961	    ,3261	   ,16007	  ,3902		 ,9485
,226	       ,3484	      ,3207	     ,11141	    ,5075	   ,5357	  ,4589		 ,8129
,253	       ,3542	      ,3382	     ,3380	    ,11380	   ,11549	  ,4623		 ,8023
,279	       ,4404	      ,3617	     ,3700	    ,3940	   ,4924	  ,16386	 ,8555
,355	       ,6240	      ,4050	     ,3596	    ,4349	   ,5533	  ,5528		 ,8510
