,258			 ,278			  ,281			   ,282			    ,271		     ,286		      ,280		       ,253			,276			 ,259
,290			 ,290			  ,292			   ,288			    ,299		     ,286		      ,273		       ,279			,271			 ,292
,302			 ,337			  ,303			   ,317			    ,305		     ,344		      ,320		       ,302			,334			 ,298
,322			 ,385			  ,372			   ,356			    ,343		     ,322		      ,340		       ,344			,368			 ,333
,347			 ,326			  ,348			   ,339			    ,344		     ,328		      ,389		       ,464			,335			 ,336
,340			 ,350			  ,358			   ,359			    ,360		     ,383		      ,375		       ,412			,355			 ,387
,401			 ,363			  ,372			   ,389			    ,366		     ,383		      ,369		       ,356			,377			 ,382
,388			 ,374			  ,401			   ,365			    ,368		     ,395		      ,379		       ,372			,390			 ,365
,385			 ,386			  ,393			   ,390			    ,389		     ,383		      ,388		       ,393			,388			 ,396
,406			 ,408			  ,407			   ,405			    ,422		     ,431		      ,405		       ,438			,408			 ,416
,426			 ,433			  ,429			   ,430			    ,421		     ,434		      ,420		       ,421			,441			 ,421
