,102982			 ,99938			  ,93998		   ,100409		    ,97553		     ,100582		      ,103291		       ,102448			,101674			 ,110664
,99295			 ,105847		  ,124402		   ,113786		    ,110141		     ,136664		      ,103453		       ,113178			,116301			 ,97200
,124037			 ,103310		  ,110337		   ,106694		    ,105357		     ,129330		      ,115145		       ,122398			,151414			 ,143760
,101184			 ,128984		  ,116911		   ,160640		    ,125633		     ,102479		      ,120814		       ,111629			,122881			 ,188279
,113738			 ,160387		  ,141545		   ,107677		    ,129230		     ,134431		      ,159167		       ,134547			,119547			 ,102589
,162154			 ,132637		  ,164548		   ,117748		    ,128815		     ,169137		      ,110526		       ,122879			,136584			 ,138630
,135642			 ,136012		  ,114789		   ,123061		    ,109255		     ,134760		      ,150006		       ,127099			,142295			 ,133857
,136743			 ,119665		  ,131520		   ,115284		    ,133709		     ,119498		      ,159064		       ,117118			,146251			 ,109479
,112888			 ,139900		  ,136229		   ,129883		    ,123512		     ,167078		      ,153225		       ,134199			,114654			 ,126473
,128408			 ,144208		  ,143575		   ,150193		    ,122394		     ,157947		      ,130954		       ,160999			,135188			 ,132467
,157785			 ,138127		  ,129693		   ,126397		    ,115084		     ,143248		      ,114657		       ,153237			,127584			 ,147044
