,46975			 ,51450			  ,51261		   ,45773		    ,46655		     ,49131		      ,45722		       ,48946			,49408			 ,49563
,52439			 ,46658			  ,45228		   ,48751		    ,51071		     ,45366		      ,49199		       ,47659			,48008			 ,50370
,46313			 ,48781			  ,49668		   ,49906		    ,48070		     ,50829		      ,48240		       ,47997			,47267			 ,50467
,48265			 ,47339			  ,50685		   ,48717		    ,49122		     ,47997		      ,51963		       ,49433			,48449			 ,49118
,47103			 ,47690			  ,48557		   ,47054		    ,49557		     ,48283		      ,49057		       ,49717			,46992			 ,47993
,48287			 ,49018			  ,49309		   ,48407		    ,51327		     ,49719		      ,49975		       ,50159			,47742			 ,48088
,45160			 ,45290			  ,45372		   ,45209		    ,45686		     ,45435		      ,46666		       ,45249			,47145			 ,46158
,48864			 ,50176			  ,48991		   ,46280		    ,47825		     ,48413		      ,48691		       ,48654			,47515			 ,48028
,50806			 ,50580			  ,47834		   ,51383		    ,51054		     ,51313		      ,48074		       ,49896			,50980			 ,50482
,52417			 ,48595			  ,49649		   ,49692		    ,48308		     ,47817		      ,47625		       ,47881			,46724			 ,48478
,51670			 ,47682			  ,50066		   ,47978		    ,48562		     ,49556		      ,49307		       ,49577			,48879			 ,49558
