,7364			 ,7212			  ,10141		   ,7065		    ,7108		     ,9350		      ,7095		       ,6989			,6507			 ,8202
,10023			 ,8639			  ,9693			   ,8242		    ,9819		     ,7899		      ,8506		       ,10889			,7820			 ,8285
,10565			 ,8560			  ,9879			   ,10207		    ,9855		     ,9535		      ,8428		       ,9099			,10380			 ,9413
,9648			 ,11020			  ,12384		   ,11994		    ,11711		     ,11699		      ,10058		       ,11012			,10346			 ,10772
,12344			 ,11270			  ,11334		   ,11945		    ,12273		     ,11087		      ,13099		       ,15368			,11555			 ,10095
,13329			 ,11997			  ,10979		   ,14556		    ,10474		     ,10729		      ,10497		       ,12014			,11835			 ,11945
,11341			 ,12539			  ,11944		   ,13273		    ,11751		     ,12049		      ,13172		       ,12301			,13466			 ,11535
,11974			 ,13193			  ,13711		   ,13473		    ,13375		     ,12198		      ,13030		       ,12737			,13135			 ,12631
,12168			 ,13246			  ,13069		   ,13001		    ,12214		     ,13029		      ,12733		       ,12542			,12660			 ,14154
,12435			 ,13822			  ,13393		   ,13036		    ,14070		     ,12384		      ,13191		       ,13228			,12739			 ,21710
,14024			 ,13968			  ,14504		   ,12927		    ,14143		     ,14648		      ,13795		       ,13321			,14249			 ,13325
