,8439			 ,8046			  ,8510			   ,8118		    ,9040		     ,8336		      ,8429		       ,8056			,8323			 ,8102
,24581			 ,24466			  ,24714		   ,25219		    ,25235		     ,27367		      ,24510		       ,25276			,24674			 ,24743
,42078			 ,42065			  ,43047		   ,42563		    ,42011		     ,42802		      ,42257		       ,42687			,47796			 ,42384
,60294			 ,62429			  ,61282		   ,62832		    ,67846		     ,59795		      ,61297		       ,84806			,60776			 ,60926
,88909			 ,78679			  ,87680		   ,99995		    ,78450		     ,88370		      ,81054		       ,82851			,100520			 ,79855
,101010			 ,122047		  ,101215		   ,96759		    ,96590		     ,99545		      ,96657		       ,96807			,104953			 ,103696
,144858			 ,115616		  ,116112		   ,117976		    ,121307		     ,127194		      ,122929		       ,161089			,130322			 ,122189
,161682			 ,177637		  ,155057		   ,134518		    ,135131		     ,163323		      ,149207		       ,180546			,144808			 ,134589
,171174			 ,153496		  ,160889		   ,177584		    ,153575		     ,155732		      ,170312		       ,221681			,168672			 ,190203
,197446			 ,194631		  ,210081		   ,215795		    ,174757		     ,219479		      ,186015		       ,172154			,177271			 ,209617
,200581			 ,214657		  ,217584		   ,215360		    ,255706		     ,232410		      ,192081		       ,202782			,215472			 ,201659
