,98461			 ,99153			  ,99260		   ,97577		    ,98361		     ,95980		      ,97988		       ,106599			,98239			 ,105495
,108393			 ,102398		  ,103796		   ,100213		    ,100508		     ,105495		      ,109224		       ,100698			,99815			 ,106642
,97105			 ,101470		  ,102900		   ,101496		    ,97492		     ,104860		      ,98153		       ,103290			,98207			 ,109184
,99863			 ,100641		  ,105008		   ,98020		    ,99953		     ,99248		      ,97024		       ,99171			,99770			 ,99519
,102571			 ,101380		  ,101586		   ,101940		    ,102136		     ,102270		      ,100980		       ,100647			,102503			 ,101294
,101404			 ,101651		  ,104365		   ,106260		    ,102160		     ,103373		      ,100734		       ,102409			,104597			 ,104913
,97235			 ,98180			  ,98047		   ,97005		    ,97071		     ,100449		      ,100358		       ,98225			,104457			 ,100654
,101911			 ,101340		  ,100893		   ,100089		    ,101148		     ,101058		      ,101275		       ,100530			,101857			 ,100218
,101619			 ,101265		  ,103799		   ,101592		    ,102272		     ,103490		      ,101148		       ,103038			,101039			 ,101905
,101584			 ,101342		  ,103650		   ,102910		    ,105400		     ,105187		      ,104707		       ,103611			,106056			 ,103664
,101320			 ,103937		  ,104425		   ,106626		    ,105275		     ,103800		      ,105365		       ,104693			,101971			 ,104856
