,8771			 ,8317			  ,7851			   ,7600		    ,10277		     ,14495		      ,8215		       ,9520			,9747			 ,8161
,19332			 ,22527			  ,18587		   ,18597		    ,20296		     ,19056		      ,19780		       ,18538			,20869			 ,18782
,32595			 ,29743			  ,37862		   ,32683		    ,31364		     ,37585		      ,32202		       ,33094			,32509			 ,32429
,53495			 ,53725			  ,54458		   ,45340		    ,45214		     ,52488		      ,43807		       ,59081			,51048			 ,74090
,63223			 ,55365			  ,60131		   ,64601		    ,52643		     ,59999		      ,57398		       ,59492			,69775			 ,82618
,83110			 ,67451			  ,95986		   ,72581		    ,78913		     ,65707		      ,65026		       ,74856			,83684			 ,95921
,95394			 ,85817			  ,95815		   ,78691		    ,91180		     ,81148		      ,79909		       ,102591			,83202			 ,86878
,96099			 ,90419			  ,113218		   ,91866		    ,99128		     ,106487		      ,89304		       ,93585			,94991			 ,98949
,126774			 ,107670		  ,111848		   ,101718		    ,107500		     ,108753		      ,112998		       ,102787			,109925			 ,133898
,113261			 ,118628		  ,123626		   ,116025		    ,115112		     ,118505		      ,123265		       ,131238			,119909			 ,113860
,133976			 ,144632		  ,131911		   ,171102		    ,126141		     ,138798		      ,129679		       ,126790			,163368			 ,151663
