,264			 ,251			  ,264			   ,274			    ,257		     ,260		      ,262		       ,269			,266			 ,255
,290			 ,269			  ,335			   ,275			    ,321		     ,281		      ,277		       ,299			,279			 ,291
,325			 ,290			  ,316			   ,316			    ,299		     ,317		      ,287		       ,304			,359			 ,300
,321			 ,344			  ,394			   ,383			    ,379		     ,397		      ,305		       ,367			,344			 ,343
,378			 ,334			  ,364			   ,342			    ,384		     ,357		      ,406		       ,441			,352			 ,327
,427			 ,401			  ,345			   ,482			    ,339		     ,350		      ,347		       ,388			,367			 ,406
,374			 ,426			  ,428			   ,443			    ,392		     ,387		      ,416		       ,411			,448			 ,378
,397			 ,376			  ,431			   ,452			    ,392		     ,366		      ,391		       ,387			,434			 ,390
,410			 ,420			  ,431			   ,398			    ,396		     ,436		      ,411		       ,394			,399			 ,479
,406			 ,460			  ,470			   ,436			    ,446		     ,415		      ,446		       ,471			,440			 ,505
,475			 ,468			  ,478			   ,443			    ,452		     ,479		      ,438		       ,423			,480			 ,428
