,603			 ,574			  ,576			   ,589			    ,590		     ,586		      ,596		       ,582			,574			 ,604
,629			 ,660			  ,722			   ,696			    ,681		     ,771		      ,643		       ,686			,826			 ,608
,928			 ,672			  ,730			   ,717			    ,694		     ,948		      ,746		       ,735			,877			 ,993
,696			 ,849			  ,775			   ,940			    ,793		     ,705		      ,791		       ,734			,792			 ,1070
,818			 ,1007			  ,915			   ,796			    ,866		     ,907		      ,993		       ,890			,824			 ,762
,926			 ,842			  ,946			   ,805			    ,826		     ,960		      ,769		       ,819			,875			 ,1031
,878			 ,901			  ,818			   ,856			    ,814		     ,875		      ,948		       ,862			,949			 ,877
,930			 ,925			  ,933			   ,891			    ,926		     ,893		      ,962		       ,886			,1167			 ,899
,964			 ,1028			  ,1062			   ,1015		    ,1002		     ,1128		      ,1078		       ,1022			,974			 ,998
,937			 ,985			  ,994			   ,992			    ,920		     ,1010		      ,942		       ,1039			,952			 ,944
,1013			 ,940			  ,927			   ,924			    ,887		     ,1128		      ,885		       ,992			,919			 ,965
